State,Sum,Count,Average Score
AA,0.2835876987036643,9.0,0.03150974430040714
AE,35.315906012742374,205.0,0.1722727122572799
AK,264.6730430512121,1083.0,0.24438877474719495
AL,1486.339400289552,5805.0,0.2560446856657282
AP,17.491686274742356,131.0,0.13352432270795692
AR,1084.3206849826022,4243.0,0.25555519325538584
AS,-0.4670389483542505,2.0,-0.23351947417712526
AZ,2730.0851557634915,11310.0,0.2413868395900523
CA,22921.265251538585,106592.0,0.21503738790470753
CO,4627.351085909821,19994.0,0.2314369853911084
CT,2963.4903755565133,10940.0,0.2708857747309427
DC,1095.7933164012252,5638.0,0.1943585165663755
DE,765.965318775231,3118.0,0.2456591785680664
FL,7230.832704360492,28470.0,0.25398077640886874
GA,4536.999167287788,21073.0,0.2152991585103112
GU,8.463549873647313,24.0,0.3526479114019714
HI,311.8308674269871,1580.0,0.19736130849809308
IA,2667.2524776111545,9275.0,0.2875743911171056
ID,856.5966435279131,3254.0,0.26324420514072316
IL,8063.508704572122,31659.0,0.2546987809018643
IN,4249.413062271181,15539.0,0.2734676016649193
KS,1659.3053614279913,5940.0,0.2793443369407393
KY,2498.1754180061534,9438.0,0.26469330557386667
LA,1196.7965754643258,5336.0,0.22428721429241488
MA,7782.24533518579,30561.0,0.2546462921758382
MD,4906.98166516662,21527.0,0.22794544828200025
ME,939.3207010693194,3735.0,0.2514914862300721
MH,0.593566499686619,1.0,0.593566499686619
MI,5739.88525655669,21535.0,0.26653750901122314
MN,5416.003674866963,19925.0,0.27181950689420137
MO,3483.697105485923,13319.0,0.26155845825406737
MP,1.234879217777503,2.0,0.6174396088887515
MS,624.5189184985675,2691.0,0.23207689279025176
MT,409.9360818937071,1729.0,0.23709432151168716
NC,5538.328839580593,22822.0,0.242674999543449
ND,375.31309372477097,1270.0,0.29552212104312675
NE,1347.7271655938519,4747.0,0.283911347291732
NH,957.233215755973,3370.0,0.2840454646160157
NJ,4915.591841153251,18317.0,0.2683622777285173
NM,692.8998253265836,3145.0,0.22031790948381036
NV,872.7461942287707,3860.0,0.22610005031833438
NY,12252.921536965541,50014.0,0.24498983358590676
OH,8218.284105333112,30564.0,0.2688877144789004
OK,1256.6584894544076,5028.0,0.24993207825266658
OR,3285.8999571451395,15558.0,0.21120323673641467
PA,8390.07712644708,30999.0,0.2706563800911991
PR,48.71447144661618,230.0,0.21180204976789643
PW,0.316921690131599,1.0,0.316921690131599
RI,900.2798489213101,3490.0,0.2579598420977966
SC,1838.431329925798,7289.0,0.25221996569156235
SD,511.8611953006323,1715.0,0.2984613383677156
TN,2449.28483038863,9934.0,0.24655575099543284
TX,9451.52043067189,40575.0,0.23293950537700284
UT,2307.9939810716146,9103.0,0.2535421268891151
VA,5604.167685949712,22485.0,0.24924027956191736
VI,2.6726636849546983,35.0,0.07636181957013424
VT,896.043914355613,3325.0,0.2694868915355227
WA,6474.6049602988,29061.0,0.22279360518560268
WI,5154.8792824201055,18375.0,0.2805376480228629
WV,568.794489572961,2056.0,0.27665101632926115
WY,153.2076039086437,645.0,0.2375311688506104
