stateAbb,sum,count,avgScore
AA,0.2835876987036643,9,0.03150974430040714
AE,33.479112213359876,201,0.16656274733014864
AK,264.087745431799,1073,0.24612091838937467
AL,1487.6544787890998,5722,0.2599885492466095
AP,17.689137572105224,129,0.13712509745818002
AR,1079.9263533465216,4189,0.25780051404786863
AS,-0.4670389483542505,2,-0.23351947417712526
AZ,2719.0613099420507,11214,0.24247024344052528
CA,22939.612965915825,105401,0.21764132186521784
CO,4620.747172896558,19812,0.23322971799397124
CT,2958.5709606706605,10808,0.2737389859983957
DC,1099.1416984213392,5613,0.19582071947645452
DE,766.40974295347,3093,0.24778847169526996
FL,7213.230373385197,28178,0.2559880180774078
GA,4529.275374895561,20850,0.21723143284870797
GU,8.463549873647311,24,0.3526479114019713
HI,307.81759973730357,1561,0.1971925686978242
IA,2664.557131760388,9151,0.2911766071205757
ID,858.9464424367326,3220,0.2667535535517803
IL,8043.97817038242,31331,0.2567418266375928
IN,4223.421429340028,15373,0.2747298139166089
KS,1656.0243927789038,5876,0.2818285215757154
KY,2494.766401367332,9347,0.26690557412724214
LA,1190.5214818319782,5278,0.22556299390526302
MA,7774.65988018684,30279,0.2567673925884884
MD,4916.059146758471,21318,0.23060602058159635
ME,938.6415655410378,3704,0.2534129496601074
MH,0.593566499686619,1,0.593566499686619
MI,5711.514802965624,21298,0.26817141529559696
MN,5394.792378520683,19742,0.273264733994564
MO,3464.24965324079,13188,0.2626819573279337
MP,1.234879217777503,2,0.6174396088887515
MS,628.2040355581444,2647,0.23732679847304283
MT,406.0609262610801,1712,0.23718512047960286
NC,5540.964339317665,22616,0.2450019605287259
ND,376.7520353109231,1241,0.3035874579459493
NE,1335.65462291867,4690,0.28478776608073986
NH,957.6707085192003,3351,0.28578654387323194
NJ,4913.518413135273,18094,0.271555123971221
NM,692.6734019782048,3108,0.22286788995437734
NV,868.1152599309362,3812,0.22773222978251212
NY,12234.960909721603,49500,0.2471709274691233
OH,8202.94040930016,30254,0.27113573111985717
OK,1256.4981113548129,4979,0.2523595323066505
OR,3284.0042570853666,15440,0.21269457623609886
PA,8368.732585342825,30708,0.27252613603435016
PR,47.80474658015112,218,0.21928782834931707
PW,0.316921690131599,1,0.316921690131599
RI,904.1596737390646,3452,0.2619234280820002
SC,1830.5802534463803,7219,0.25357809301099604
SD,519.6912698008844,1686,0.30823918730776056
TN,2451.26329429098,9845,0.24898560632716912
TX,9415.1237744372,40141,0.2345513010248175
UT,2290.5406608762655,9017,0.2540246934541716
VA,5606.25324517399,22316,0.251221242389944
VI,3.531233888132603,33,0.10700708751916978
VT,889.1260454848222,3304,0.2691059459699825
WA,6477.868551990036,28854,0.22450504443023625
WI,5143.373257702355,18176,0.2829760815197158
WV,571.5616399485637,2023,0.2825317053626118
WY,153.89896199629524,639,0.24084344600359192
